PM2.5,PM10,CO,NO2,SO2,O3,风速,压强,降水量,温度,湿度,时间
119,267,0.8,72,16,73,1.1,1028.3,307.6,2,98,2019/1/6 3:41
113,227,0.8,71,16,73,2.1,1028.3,307.6,2,98,2019/1/6 3:42
108,217,0.8,73,16,73,1.2,1028.3,307.6,2,98,2019/1/6 3:43
116,250,0.8,75,16,73,1.2,1028.3,307.6,2,98,2019/1/6 3:44
116,237,0.8,73,16,73,1.3,1028.3,307.6,2,98,2019/1/6 3:45
118,248,0.8,71,15,73,1.4,1028.4,307.6,2,98,2019/1/6 3:46
115,234,0.8,71,16,73,1.8,1028.4,307.6,2,98,2019/1/6 3:47
119,262,0.8,74,16,73,0.5,1028.4,307.6,2,98,2019/1/6 3:48
114,261,0.8,72,16,72,0.4,1028.4,307.6,2,98,2019/1/6 3:49
112,235,0.9,70,15,72,1.3,1028.3,307.6,2,98,2019/1/6 3:50
114,248,0.8,70,15,73,0.2,1028.3,307.6,2,98,2019/1/6 3:51
115,248,0.8,69,16,73,0.5,1028.4,307.6,2,98,2019/1/6 3:52
113,262,0.8,70,16,72,0.5,1028.4,307.6,2,98,2019/1/6 3:53
107,228,0.8,70,16,72,0.3,1028.4,307.6,2,98,2019/1/6 3:54
116,252,0.8,69,16,71,0.9,1028.4,307.6,2,98,2019/1/6 3:55
113,239,0.8,70,17,72,1.1,1028.5,307.6,2,98,2019/1/6 3:56
111,247,0.8,73,16,73,2.1,1028.4,307.6,2,98,2019/1/6 3:57
107,230,0.8,73,16,73,1.1,1028.4,307.6,2,98,2019/1/6 3:58
107,224,0.8,72,17,73,0.7,1028.4,307.6,2,98,2019/1/6 3:59
120,260,0.8,71,16,73,0.7,1028.4,307.6,2,98,2019/1/6 4:00
113,241,0.8,71,16,73,0.6,1028.4,307.6,2,98,2019/1/6 4:01
111,239,0.8,71,17,72,0.7,1028.4,307.6,2,98,2019/1/6 4:02
112,232,0.9,72,16,73,1.7,1028.4,307.6,2,98,2019/1/6 4:03
116,240,0.9,75,16,73,0.8,1028.4,307.6,2,98,2019/1/6 4:04
113,241,0.8,75,17,73,0.4,1028.4,307.6,2,98,2019/1/6 4:05
111,261,0.8,74,16,73,0.2,1028.4,307,2,98,2019/1/6 4:06
118,254,0.8,74,17,72,0.3,1028.4,307.6,2,98,2019/1/6 4:07
111,236,0.8,76,17,71,0.8,1028.4,307.6,2,98,2019/1/6 4:08
118,250,0.8,75,16,71,0.9,1028.5,307.6,2,98,2019/1/6 4:09
113,236,0.8,76,16,72,0.4,1028.5,307.6,2,98,2019/1/6 4:10
110,244,0.8,73,16,73,0.7,1028.5,307.6,2,98,2019/1/6 4:11
111,236,0.8,70,16,72,0.6,1028.5,307.6,2,98,2019/1/6 4:12
104,243,0.8,69,16,72,0.5,1028.5,307.6,2,98,2019/1/6 4:13
113,247,0.8,68,16,72,0.6,1028.4,307.6,2,98,2019/1/6 4:14
116,256,0.8,71,17,72,0.4,1028.4,307.6,2,98,2019/1/6 4:15
116,282,0.8,72,17,73,0.3,1028.5,307.6,2,98,2019/1/6 4:16
115,240,0.8,72,16,72,0.7,1028.4,307.6,2,98,2019/1/6 4:17
115,256,0.8,70,15,71,0.5,1028.4,307.6,2,98,2019/1/6 4:18
120,249,0.8,69,16,72,0.6,1028.5,307.6,2,98,2019/1/6 4:19
115,231,0.8,71,16,72,0.7,1028.5,307.6,2,98,2019/1/6 4:20
118,271,0.8,71,16,72,0.3,1028.5,307.6,2,98,2019/1/6 4:21
113,258,0.8,71,16,72,0.2,1028.5,307.6,2,98,2019/1/6 4:22
124,247,0.8,69,16,72,0.7,1028.6,307.6,2,98,2019/1/6 4:23
109,247,0.8,69,16,72,0.6,1028.5,307.6,2,98,2019/1/6 4:24
118,254,0.8,69,16,73,0.4,1028.5,307.6,2,98,2019/1/6 4:25
109,235,0.8,68,16,72,0.2,1028.5,307.6,2,98,2019/1/6 4:26
109,226,0.9,66,16,71,0.4,1028.5,307.6,2,98,2019/1/6 4:27
115,227,0.8,66,16,71,0.1,1028.6,307.6,2,98,2019/1/6 4:28
117,253,0.8,69,16,71,0.3,1028.6,307.6,2,98,2019/1/6 4:29
112,241,0.8,70,16,72,0.6,1028.5,307.6,2,98,2019/1/6 4:30
112,226,0.8,70,16,72,0.8,1028.5,307.6,2,98,2019/1/6 4:31
116,266,0.8,74,16,73,0.7,1028.5,307.6,2,98,2019/1/6 4:32
113,265,0.8,75,16,73,0.1,1028.5,307.6,2,98,2019/1/6 4:33
113,228,0.8,74,16,72,1.1,1028.5,307.6,2,98,2019/1/6 4:34
110,237,0.9,73,17,72,0.8,1028.5,307.6,2,98,2019/1/6 4:35
108,241,0.8,74,17,72,0.7,1028.4,307.6,2,98,2019/1/6 4:36
116,244,0.8,74,16,72,0.5,1028.6,307.6,2,98,2019/1/6 4:37
116,243,0.8,73,16,72,0.7,1028.6,307.6,2,98,2019/1/6 4:38
112,222,0.8,69,16,72,0.5,1028.6,307.6,2,98,2019/1/6 4:39
117,249,0.8,70,16,72,1.2,1028.6,307.6,2,98,2019/1/6 4:40
110,231,0.8,72,16,73,0.8,1028.6,307.6,2,98,2019/1/6 4:41
108,235,0.8,75,16,73,0.7,1028.6,307.6,2,98,2019/1/6 4:42
108,224,0.8,73,16,73,0.6,1028.6,307.6,2,98,2019/1/6 4:43
112,227,0.8,71,16,73,0.2,1028.6,307.6,2,98,2019/1/6 4:44
109,240,0.8,69,16,72,1.3,1028.6,307.6,2,98,2019/1/6 4:45
112,244,0.8,69,16,73,0.6,1028.7,30,2,98,2019/1/6 4:46
117,256,0.8,69,16,73,0.4,1028.7,307.6,2,98,2019/1/6 4:47
106,221,0.8,68,15,73,1.2,1028.7,307.6,2,98,2019/1/6 4:48
106,232,0.8,71,15,73,0.8,1028.8,307.6,2,98,2019/1/6 4:49
116,241,0.8,73,16,73,0.9,1028.8,307.6,2,98,2019/1/6 4:50
120,241,0.8,71,16,73,1.5,1028.8,307.6,2,98,2019/1/6 4:51
120,253,0.8,72,16,73,1,1028.8,307.6,2,98,2019/1/6 4:52
107,227,0.8,73,16,73,0.9,1028.9,307.6,2,98,2019/1/6 4:53
103,227,0.8,74,16,73,0.9,1028.8,307.6,2,98,2019/1/6 4:54
117,274,0.8,73,16,73,0.6,1028.9,307.6,2,98,2019/1/6 4:55
104,245,0.8,72,15,73,1,1028.8,307.6,2,98,2019/1/6 4:56
112,258,0.8,72,16,72,0.5,1028.8,307.6,2,98,2019/1/6 4:57
108,244,0.9,72,16,72,1.7,1028.9,307.6,2,98,2019/1/6 4:58
116,260,0.8,69,15,72,0.8,1028.8,307.6,2,98,2019/1/6 4:59
115,253,0.8,69,15,73,1,1028.8,307.6,2,98,2019/1/6 5:00
123,260,0.8,72,16,73,0.9,1028.9,307.6,2,98,2019/1/6 5:01
116,234,0.8,72,16,73,1,1028.9,307.6,2,98,2019/1/6 5:02
116,265,0.8,69,16,73,0.7,1029,307.6,2,98,2019/1/6 5:03
118,261,0.8,68,17,73,0.5,1029,307.6,2,98,2019/1/6 5:04
115,243,0.8,71,17,72,1,1029,307.6,2,98,2019/1/6 5:05
118,266,0.8,72,17,72,0.4,1029,307.6,2,98,2019/1/6 5:06
116,239,0.9,69,16,73,0.5,1029.1,307.6,2,98,2019/1/6 5:07
102,241,0.9,69,17,72,0.7,1029,307.6,2,98,2019/1/6 5:08
113,252,0.8,73,16,72,0.5,1029.1,307.6,2,98,2019/1/6 5:09
113,248,0.8,73,16,72,0.5,1029.1,307.6,2,98,2019/1/6 5:10
116,240,0.8,70,16,72,0.3,1029.1,307.6,2,98,2019/1/6 5:11
115,257,0.8,68,16,71,1.1,1029.2,307.6,2,98,2019/1/6 5:12
111,257,0.8,68,16,72,0.8,1029.1,307.6,2,98,2019/1/6 5:13
110,240,0.8,71,16,73,0.2,1029.1,307.6,2,98,2019/1/6 5:14
115,250,0.8,72,16,72,0.4,1029.2,307.6,2,98,2019/1/6 5:15
115,253,0.8,71,17,72,0.4,1029.1,307.6,2,98,2019/1/6 5:16
112,241,0.8,70,17,72,0.7,1029.2,307.6,2,98,2019/1/6 5:17
109,245,0.8,72,16,73,1.1,1029.2,307.6,2,98,2019/1/6 5:18
114,254,0.8,74,15,74,0.4,1029.2,307.6,2,98,2019/1/6 5:19
106,237,0.8,71,16,74,1.3,1029.2,307.6,2,98,2019/1/6 5:20
101,223,0.8,71,16,73,0.4,1029.3,307.6,2,98,2019/1/6 5:21
112,231,0.8,73,16,73,2.2,1029.3,307.6,2,98,2019/1/6 5:22
107,230,0.8,74,16,73,1.2,1029.3,307.6,2,98,2019/1/6 5:23
113,226,0.8,75,16,73,0.9,1029.3,307.6,2,98,2019/1/6 5:24
108,243,0.8,72,16,73,1.2,1029.3,307.6,2,98,2019/1/6 5:25
107,236,0.8,70,16,73,0.8,1029.4,307.6,2,98,2019/1/6 5:26
113,241,0.8,72,16,73,0.9,1029.3,307.6,2,98,2019/1/6 5:27
106,232,0.8,73,16,72,0.7,1029.4,307.6,2,98,2019/1/6 5:28
118,247,0.9,73,16,72,0.5,1029.3,307.6,2,98,2019/1/6 5:29
107,236,0.8,73,15,73,1.5,1029.3,307.6,2,98,2019/1/6 5:30
109,235,0.8,73,15,73,1.5,1029.3,307.6,2,98,2019/1/6 5:31
110,262,0.8,74,16,73,0.8,1029.3,307.6,2,98,2019/1/6 5:32
108,234,0.8,72,15,73,0.8,1029.3,307.6,2,98,2019/1/6 5:33
107,224,0.8,70,16,73,0.7,1029.3,307.6,2,98,2019/1/6 5:34
113,249,0.8,70,16,73,1.2,1029.4,307.6,2,98,2019/1/6 5:35
116,271,0.8,70,16,73,0.8,1029.3,307.6,2,98,2019/1/6 5:36
98,215,0.8,70,17,73,0.9,1029.3,307.6,2,98,2019/1/6 5:37
106,258,0.8,70,17,73,0.6,1029.3,307.6,2,98,2019/1/6 5:38
104,224,0.8,71,16,73,1.3,1029.4,307.6,2,98,2019/1/6 5:39
120,253,0.8,73,16,74,0.8,1029.4,307.6,2,98,2019/1/6 5:40
108,227,0.8,73,17,73,0.8,1029.4,307.6,2,98,2019/1/6 5:41
104,236,0.8,72,17,73,0.1,1029.3,307.6,2,98,2019/1/6 5:42
107,241,0.8,70,16,72,0.2,1029.4,307.6,2,98,2019/1/6 5:43
114,240,0.8,70,16,71,0.5,1029.3,307.6,2,98,2019/1/6 5:44
103,214,0.8,71,16,72,0.4,1029.3,307.6,2,98,2019/1/6 5:45
105,234,0.8,70,16,72,0.4,1029.3,307.6,2,98,2019/1/6 5:46
111,227,0.8,69,16,73,0.3,1029.3,307.6,2,98,2019/1/6 5:47
112,243,0.8,71,16,73,0.8,1029.5,307.6,2,98,2019/1/6 5:48
104,248,0.8,71,17,73,0.7,1029.5,307.6,2,98,2019/1/6 5:49
107,237,0.8,69,16,73,0.5,1029.5,307.6,2,98,2019/1/6 5:50
108,221,0.8,72,15,73,0.7,1029.6,307.6,2,98,2019/1/6 5:51
111,261,0.8,74,14,74,0.5,1029.6,307.6,2,98,2019/1/6 5:52
113,234,0.8,74,15,74,0.8,1029.6,307.6,2,98,2019/1/6 5:53
108,239,0.8,73,15,73,2.1,1029.6,307.6,2,98,2019/1/6 5:54
116,273,0.8,74,16,73,1,1029.7,307.6,2,98,2019/1/6 5:55
106,244,0.8,75,17,73,0.9,1029.7,307.6,2,98,2019/1/6 5:56
107,237,0.8,75,16,73,1.3,1029.8,307.6,2,98,2019/1/6 5:57
104,226,0.8,74,16,73,0.5,1029.8,307.6,2,98,2019/1/6 5:58
109,244,0.8,72,16,73,0.7,1029.8,307.6,1,98,2019/1/6 5:59
109,228,0.8,71,17,73,0.7,1029.8,307.6,2,98,2019/1/6 6:00
108,236,0.8,72,17,73,1.2,1029.8,307.6,2,98,2019/1/6 6:01
102,234,0.8,71,17,73,0.4,1029.8,307.6,2,98,2019/1/6 6:02
107,250,0.8,73,17,73,0.7,1029.8,307.6,2,98,2019/1/6 6:03
112,234,0.8,73,17,73,0.9,1029.8,307.6,2,98,2019/1/6 6:04
110,261,0.8,73,17,73,0.8,1029.8,307.6,2,98,2019/1/6 6:05
107,232,0.8,73,16,73,1,1029.9,307.6,2,98,2019/1/6 6:06
114,241,0.8,74,16,73,1,1029.8,307.6,2,98,2019/1/6 6:07
108,234,0.8,73,16,73,0.4,1029.8,307.6,2,98,2019/1/6 6:08
105,236,0.8,72,16,73,1,1029.8,307.6,2,98,2019/1/6 6:09
110,241,0.8,70,16,72,0.3,1029.8,307.6,2,98,2019/1/6 6:10
109,231,0.8,70,16,73,0.8,1029.8,307.6,2,98,2019/1/6 6:11
108,227,0.8,71,16,73,0.6,1029.9,307.6,2,98,2019/1/6 6:12
106,223,0.8,70,17,72,0.3,1029.8,307.6,2,98,2019/1/6 6:13
106,232,0.8,71,16,72,1,1029.9,307.6,2,98,2019/1/6 6:14
101,221,0.8,74,15,72,0.8,1029.8,307.6,2,98,2019/1/6 6:15
102,239,0.8,70,17,73,0.8,1029.8,307.6,2,98,2019/1/6 6:16
112,231,0.8,68,17,73,1.1,1029.8,307.6,2,98,2019/1/6 6:17
105,243,0.8,70,16,73,1.4,1029.9,307.6,2,98,2019/1/6 6:17
113,236,0.9,72,16,73,1.1,1029.9,307.6,2,98,2019/1/6 6:18
108,239,0.9,75,16,73,0.7,1029.9,307.6,2,98,2019/1/6 6:19
102,234,0.8,73,16,74,0.8,1029.9,307.6,2,98,2019/1/6 6:20
107,215,0.8,70,15,73,1.2,1029.9,307.6,2,98,2019/1/6 6:21
102,234,0.8,71,16,73,0.6,1029.9,307.6,2,98,2019/1/6 6:23
106,270,0.8,75,17,73,1,1029.9,307.6,2,98,2019/1/6 6:23
108,243,0.8,76,17,73,0.6,1029.8,307.6,2,98,2019/1/6 6:25
104,222,0.8,75,17,73,0.8,1029.8,307.6,2,98,2019/1/6 6:25
110,257,0.8,74,17,73,0.5,1029.9,307.6,2,98,2019/1/6 6:26
113,250,0.8,74,16,73,0.8,1029.8,307.6,2,98,2019/1/6 6:27
113,245,0.8,76,16,73,0.6,1029.8,307.6,2,98,2019/1/6 6:28
106,226,0.8,75,16,73,1.3,1029.7,307.6,2,98,2019/1/6 6:29
113,256,0.8,71,16,73,1,1029.8,307.6,2,98,2019/1/6 6:30
113,250,0.9,71,16,73,1.3,1029.8,307.6,2,98,2019/1/6 6:31
110,245,0.9,71,16,72,0.9,1029.8,307.6,2,98,2019/1/6 6:32
111,252,0.8,73,17,72,0.6,1029.8,307.6,2,98,2019/1/6 6:33
116,256,0.9,74,17,72,0.5,1029.9,307.6,2,98,2019/1/6 6:34
104,235,0.9,74,16,73,0.8,1029.8,307.6,2,98,2019/1/6 6:35
121,266,0.8,74,15,74,0.7,1029.8,307.6,2,98,2019/1/6 6:36
117,249,0.9,73,16,74,0.6,1029.8,307.6,2,98,2019/1/6 6:37
111,221,0.9,71,17,73,0.5,1029.8,307.6,2,98,2019/1/6 6:38
128,286,0.9,72,17,73,0.1,1029.8,307.6,2,98,2019/1/6 6:39
112,263,0.9,72,16,72,0.4,1029.7,307.6,2,98,2019/1/6 6:40
120,266,0.9,71,17,72,0.6,1029.8,307.6,2,99,2019/1/6 6:41
114,249,0.9,71,16,72,0.4,1029.8,307.6,2,99,2019/1/6 6:42
100,223,0.9,68,16,72,1.6,1029.8,307.6,2,99,2019/1/6 6:43
108,239,0.8,70,16,73,0.6,1029.8,307.6,2,98,2019/1/6 6:44
101,254,0.8,72,17,74,0.9,1029.8,307.6,2,99,2019/1/6 6:45
103,215,0.8,72,17,74,1.1,1029.8,307.6,2,99,2019/1/6 6:46
104,236,0.8,74,16,73,0.5,1029.8,307.6,2,99,2019/1/6 6:47
104,239,0.8,75,16,73,0.5,1029.8,307.6,2,99,2019/1/6 6:48
99,236,0.8,72,16,72,0.9,1029.7,307.6,2,99,2019/1/6 6:50
108,244,0.8,74,16,73,1.1,1029.7,307.6,2,99,2019/1/6 6:51
108,256,0.8,74,16,73,1.5,1029.6,307.6,2,99,2019/1/6 6:52
100,208,0.8,76,16,74,0.7,1029.7,307.6,2,99,2019/1/6 6:53
99,221,0.8,75,17,73,0.6,1029.8,307.6,2,99,2019/1/6 6:54
103,237,0.8,74,16,73,0.3,1029.8,307.6,2,99,2019/1/6 6:55
104,245,0.8,71,15,72,0.2,1029.7,307.6,2,99,2019/1/6 6:56
111,245,0.8,71,16,72,0.8,1029.8,307.6,2,99,2019/1/6 6:57
103,236,0.8,73,17,72,0.4,1029.8,307.6,2,99,2019/1/6 6:58
108,230,0.8,72,17,73,0.2,1029.8,307.6,2,99,2019/1/6 7:00
99,222,0.8,70,16,73,0.4,1029.8,30,2,99,2019/1/6 7:01
109,234,0.8,70,15,72,0.3,1029.8,307.6,2,99,2019/1/6 7:02
104,226,0.8,70,15,71,0.4,1029.8,307.6,2,99,2019/1/6 7:03
99,206,0.8,70,16,72,0.2,1029.8,307.6,2,99,2019/1/6 7:04
97,217,0.8,69,16,73,0.3,1029.8,307.6,2,99,2019/1/6 7:05
100,222,0.8,71,17,73,0.1,1029.7,307.6,2,99,2019/1/6 7:06
97,204,0.8,71,17,72,0.2,1029.7,307.6,2,99,2019/1/6 7:07
106,231,0.8,76,16,70,0.3,1029.7,307.6,2,99,2019/1/6 7:08
96,210,0.8,77,17,71,0.3,1029.7,307.6,2,99,2019/1/6 7:09
108,248,0.8,75,16,73,0.4,1029.8,307.6,2,99,2019/1/6 7:10
101,230,0.8,79,17,76,0.6,1029.7,307.6,2,99,2019/1/6 7:11
104,223,0.9,84,18,77,0.4,1029.7,307.6,2,99,2019/1/6 7:12
105,239,0.9,90,18,77,0.1,1029.7,307.6,2,99,2019/1/6 7:13
108,243,0.8,93,19,78,0.2,1029.8,307.6,2,99,2019/1/6 7:14
94,215,0.8,90,18,77,0.1,1029.7,307.6,2,99,2019/1/6 7:15
103,221,0.8,78,19,75,0.2,1029.7,307.6,2,99,2019/1/6 7:16
103,213,0.8,74,18,74,0.3,1029.8,307.6,2,99,2019/1/6 7:17
89,204,0.8,76,16,73,0.3,1029.7,307.6,2,99,2019/1/6 7:18
92,217,0.8,79,16,73,0.3,1029.7,307.6,2,99,2019/1/6 7:19
108,228,0.8,79,16,73,0.3,1029.7,307.6,2,99,2019/1/6 7:20
100,208,0.8,74,16,73,0.2,1029.7,307.6,2,99,2019/1/6 7:21
98,208,0.8,76,17,73,0.4,1029.7,307.6,2,99,2019/1/6 7:22
89,208,0.8,81,17,74,0.4,1029.7,307.6,2,99,2019/1/6 7:23
94,210,0.8,82,17,75,0.2,1029.7,307.6,2,99,2019/1/6 7:24
98,222,0.8,85,17,76,0.1,1029.6,307.6,2,99,2019/1/6 7:25
98,213,0.8,86,18,76,0.6,1029.7,307.6,2,99,2019/1/6 7:26
94,214,0.9,80,17,74,0.7,1029.7,307.6,2,99,2019/1/6 7:27
92,195,0.8,81,16,74,0.4,1029.7,307.6,2,99,2019/1/6 7:28
96,221,0.8,79,16,74,0.4,1029.7,307.6,2,99,2019/1/6 7:29
96,214,0.8,76,16,74,0.5,1029.7,307.6,2,99,2019/1/6 7:30
98,217,0.8,75,16,73,0.2,1029.6,307.6,2,99,2019/1/6 7:31
92,197,0.8,76,17,73,0.6,1029.6,307.6,2,99,2019/1/6 7:32
98,208,0.8,79,17,73,0.1,1029.5,307.6,2,99,2019/1/6 7:33
95,205,0.8,81,17,74,0.1,1029.5,307.6,2,99,2019/1/6 7:34
98,206,0.8,85,18,75,0.5,1029.4,307.6,2,99,2019/1/6 7:35
91,222,0.8,85,18,76,1,1029.4,307.6,2,99,2019/1/6 7:36
95,208,0.8,81,16,75,0.3,1029.4,307.6,2,99,2019/1/6 7:37
96,202,0.8,77,16,73,0.4,1029.3,307.6,2,99,2019/1/6 7:38
95,205,0.8,75,17,73,1,1029.4,307.6,2,99,2019/1/6 7:39
100,223,0.8,75,17,73,0.2,1029.3,307.6,2,99,2019/1/6 7:40
92,200,0.8,73,16,73,0.5,1029.4,307.6,2,99,2019/1/6 7:41
96,211,0.8,72,16,72,0.3,1029.3,307.6,2,99,2019/1/6 7:42
97,226,0.8,74,16,73,0.2,1029.4,307.6,2,99,2019/1/6 7:43
95,208,0.8,76,16,72,0.6,1029.4,307.6,2,99,2019/1/6 7:44
93,208,0.8,75,15,72,0.8,1029.4,307.6,2,99,2019/1/6 7:45
98,200,0.8,75,15,73,0.4,1029.4,307.6,2,99,2019/1/6 7:46
87,201,0.8,74,16,73,0.4,1029.3,307.6,2,99,2019/1/6 7:47
92,217,0.8,74,16,73,0.5,1029.3,307.6,2,99,2019/1/6 7:48
98,211,0.8,74,16,73,0.6,1029.3,307.6,2,99,2019/1/6 7:49
106,239,0.8,73,16,73,0.5,1029.3,307.6,2,98,2019/1/6 7:50
96,217,0.7,76,17,74,0.2,1029.2,307.6,2,98,2019/1/6 7:51
92,217,0.7,77,17,73,0.5,1029.2,307.6,2,98,2019/1/6 7:52
98,228,0.8,76,16,73,0.1,1029.2,307.6,2,98,2019/1/6 7:53
99,215,0.8,75,16,73,0.6,1029.2,307.6,2,98,2019/1/6 7:54
96,202,0.8,77,16,73,0.2,1029.2,307.6,2,98,2019/1/6 7:55
98,214,0.8,79,16,73,0.5,1029.1,307.6,2,98,2019/1/6 7:56
104,239,0.7,77,16,73,0.3,1029.1,307.6,2,98,2019/1/6 7:57
89,200,0.8,72,15,72,0.4,1029.1,307.6,2,98,2019/1/6 7:58
102,231,0.8,72,16,72,0.4,1029.1,307.6,2,98,2019/1/6 7:59
93,182,0.8,74,15,72,0.3,1029.1,307.6,2,98,2019/1/6 8:00
103,219,0.8,71,16,72,0.5,1029.1,307.6,2,98,2019/1/6 8:01
104,239,0.8,71,16,72,0.4,1029.1,307.6,2,98,2019/1/6 8:02
99,201,0.7,72,17,73,0.1,1029.1,307.6,2,98,2019/1/6 8:03
90,193,0.8,77,17,73,0.2,1029.1,307.6,2,98,2019/1/6 8:04
92,215,0.7,82,17,74,0.8,1029.1,307.6,2,98,2019/1/6 8:05
92,206,0.8,83,17,75,0.5,1029,307.6,2,98,2019/1/6 8:06
95,202,0.8,80,18,75,1.1,1029,307.6,2,98,2019/1/6 8:07
89,200,0.8,77,18,74,1.2,1029,307.6,2,98,2019/1/6 8:08
87,202,0.8,76,16,74,0.4,1029,307.6,2,98,2019/1/6 8:09
96,206,0.8,74,16,74,0.3,1029.1,307.6,2,98,2019/1/6 8:10
94,208,0.8,74,15,73,1.1,1029,307.6,2,98,2019/1/6 8:11
83,188,0.8,93,17,74,1.5,1029,307.6,2,98,2019/1/6 8:18
98,196,0.7,87,17,74,0.9,1029,307.6,2,98,2019/1/6 8:19
94,201,0.8,83,16,74,0.6,1029,307.6,2,98,2019/1/6 8:20
92,192,0.8,82,16,75,0.4,1029,307.6,2,98,2019/1/6 8:21
99,208,0.9,79,18,74,0.2,1029,307.6,2,98,2019/1/6 8:22
95,208,0.9,80,18,73,0.7,1029.1,307.6,2,98,2019/1/6 8:23
90,215,0.8,81,17,74,0.2,1029.1,307.6,2,98,2019/1/6 8:24
90,206,0.8,77,16,74,0.1,1029,307.6,2,98,2019/1/6 8:25
95,208,0.8,74,15,74,0.8,1029.1,307.6,2,98,2019/1/6 8:26
93,202,0.8,76,16,75,1.1,1029.1,307.6,2,98,2019/1/6 8:27
92,205,0.8,78,17,74,0.8,1029.1,307.6,2,98,2019/1/6 8:28
92,200,0.8,77,16,74,1,1029.1,307.6,2,98,2019/1/6 8:29
100,204,0.8,77,17,74,0.5,1029.1,307.6,2,98,2019/1/6 8:30
88,204,0.8,76,17,74,0.9,1029.2,307.6,2,98,2019/1/6 8:31
97,222,0.8,76,16,73,0.4,1029,307.6,2,98,2019/1/6 8:32
92,204,0.8,74,15,73,0.3,1029.1,307.6,2,98,2019/1/6 8:33
95,205,0.8,73,15,73,0.6,1029.1,307.6,2,98,2019/1/6 8:34
95,214,0.8,74,16,73,0.2,1029.1,307.6,2,98,2019/1/6 8:35
100,214,0.8,77,16,74,1,1029.1,307.6,2,98,2019/1/6 8:36
96,192,0.8,79,16,74,0.8,1029.1,307.6,2,98,2019/1/6 8:37
90,206,0.8,79,16,74,0.3,1029.1,307.6,2,98,2019/1/6 8:38
93,192,0.8,81,16,75,0.6,1029.1,307.6,2,98,2019/1/6 8:39
98,208,0.8,83,17,75,0.8,1029.2,307.6,2,98,2019/1/6 8:40
106,232,0.8,81,17,74,0.5,1029.2,307.6,2,98,2019/1/6 8:41
98,197,0.8,77,16,73,0.5,1029.2,307.6,2,98,2019/1/6 8:42
99,235,0.9,78,16,73,0.4,1029.2,307.6,2,98,2019/1/6 8:43
97,236,0.8,78,17,73,0.2,1029.3,307.6,2,98,2019/1/6 8:44
98,240,0.8,76,17,73,0.9,1029.4,307.6,2,98,2019/1/6 8:45
95,210,0.8,76,16,73,0.6,1029.4,307.6,2,98,2019/1/6 8:46
95,206,0.8,77,17,74,0.7,1029.3,307.6,2,98,2019/1/6 8:47
97,211,0.8,78,17,74,0.8,1029.3,307.6,2,98,2019/1/6 8:48
93,205,0.8,77,17,74,2.4,1029.3,307.6,2,98,2019/1/6 8:49
100,204,0.8,77,17,74,1.2,1029.3,307.6,2,98,2019/1/6 8:50
97,205,0.8,76,16,73,1.3,1029.3,307.6,2,97,2019/1/6 8:51
93,198,0.8,77,16,73,2.1,1029.2,307.6,2,97,2019/1/6 8:52
92,200,0.7,78,16,73,1.7,1029.2,307.6,2,97,2019/1/6 8:53
97,213,0.8,76,16,73,1.8,1029.2,307.6,2,97,2019/1/6 8:54
104,235,0.8,75,16,73,0.9,1029.2,307.6,2,97,2019/1/6 8:55
96,227,0.8,73,17,73,0.4,1029.2,307.6,2,97,2019/1/6 8:56
97,227,0.8,74,17,74,0.4,1029.2,307.6,2,98,2019/1/6 8:57
104,209,0.8,77,17,74,1.1,1029.1,307.6,2,97,2019/1/6 8:58
98,208,0.8,76,16,74,1.2,1029.1,307.6,2,97,2019/1/6 8:59
97,201,0.8,73,16,73,0.3,1029.2,307.6,2,97,2019/1/6 9:00
90,202,0.8,72,17,73,0.5,1029.2,307.6,2,97,2019/1/6 9:01
93,205,0.8,76,17,73,0.6,1029.2,307.6,2,97,2019/1/6 9:02
93,201,0.7,75,16,74,1.4,1029.4,307.6,2,97,2019/1/6 9:03
86,187,0.7,71,16,73,0.5,1029.4,307.6,2,97,2019/1/6 9:04
87,189,0.8,72,17,73,0.5,1029.4,307.6,2,97,2019/1/6 9:05
99,211,0.8,71,17,73,0.5,1029.3,307.6,2,97,2019/1/6 9:06
96,196,0.8,74,16,73,0.8,1029.2,307.6,2,97,2019/1/6 9:07
90,193,0.7,76,15,73,0.2,1029.3,307.6,2,97,2019/1/6 9:08
96,200,0.7,73,15,72,0.6,1029.3,307.6,2,97,2019/1/6 9:08
92,191,0.7,71,16,73,0.3,1029.2,307.6,2,97,2019/1/6 9:09
92,202,0.8,72,16,73,0.4,1029.3,307.6,2,96,2019/1/6 9:11
87,193,0.8,69,15,74,0.2,1029.3,307.6,2,96,2019/1/6 9:11
84,196,0.8,70,15,74,0.8,1029.3,307.6,2,96,2019/1/6 9:13
83,193,0.8,73,16,74,0.5,1029.3,307.6,2,96,2019/1/6 9:13
90,192,0.7,72,16,74,0.3,1029.3,307.6,2,96,2019/1/6 9:15
88,210,0.7,75,16,75,0.5,1029.3,307.6,2,96,2019/1/6 9:16
92,221,0.7,81,16,76,0.4,1029.3,307.6,2,96,2019/1/6 9:17
92,204,0.8,85,16,76,0.2,1029.3,307.6,2,95,2019/1/6 9:17
113,243,0.7,84,16,75,0.7,1029.4,307.6,2,95,2019/1/6 9:18
104,235,0.8,79,16,74,0.7,1029.3,307.6,2,95,2019/1/6 9:19
91,204,0.8,78,17,74,1.2,1029.3,307.6,2,95,2019/1/6 9:21
